City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,272.63,82,78,4.8,US,2023-01-24 04:55:10
1,Ushuaia,-54.8,-68.3,280.96,93,40,4.12,AR,2023-01-24 04:55:10
2,Luderitz,-26.6481,15.1594,289.69,81,1,4.72,NA,2023-01-24 04:55:10
3,Cape Town,-33.9258,18.4232,294.47,75,40,7.2,ZA,2023-01-24 04:55:11
4,Port Alfred,-33.5906,26.891,295.47,80,66,2.24,ZA,2023-01-24 04:55:11
5,Bambous Virieux,-20.3428,57.7575,296.6,100,75,1.54,MU,2023-01-24 04:55:11
6,New Norfolk,-42.7826,147.0587,298.87,66,40,2.51,AU,2023-01-24 04:55:12
7,Yellowknife,62.456,-114.3525,259.44,85,100,5.66,CA,2023-01-24 04:51:59
8,Vestmannaeyjar,63.4427,-20.2734,278.39,94,100,10.56,IS,2023-01-24 04:55:12
9,Puerto Ayora,-0.7393,-90.3518,296.23,96,70,0.45,EC,2023-01-24 04:55:13
10,Mataura,-46.1927,168.8643,292.11,43,9,2.89,NZ,2023-01-24 04:55:13
11,Cassilandia,-19.1133,-51.7342,294.56,93,93,1.8,BR,2023-01-24 04:55:13
12,Punta Arenas,-53.15,-70.9167,282.21,61,0,9.26,CL,2023-01-24 04:55:14
13,Chuy,-33.6971,-53.4616,289.78,75,0,0.1,UY,2023-01-24 04:51:12
14,Kavieng,-2.5744,150.7967,302.29,71,81,4.83,PG,2023-01-24 04:55:14
15,Kruisfontein,-34.0033,24.7314,294.2,78,98,7.89,ZA,2023-01-24 04:55:15
16,Mar Del Plata,-38.0023,-57.5575,291.45,80,0,4.47,AR,2023-01-24 04:54:38
17,Jamestown,42.097,-79.2353,272.92,69,100,7.72,US,2023-01-24 04:51:09
18,Tuatapere,-46.1333,167.6833,289.69,53,7,3.69,NZ,2023-01-24 04:55:15
19,Barrow,71.2906,-156.7887,252.16,77,100,6.69,US,2023-01-24 04:55:16
20,Bluff,-46.6,168.3333,286.75,60,14,6.4,NZ,2023-01-24 04:55:16
21,Comodoro Rivadavia,-45.8667,-67.5,295.07,43,0,10.8,AR,2023-01-24 04:55:16
22,Port Elizabeth,-33.918,25.5701,295.43,87,0,9.26,ZA,2023-01-24 04:53:34
23,Ribeira Grande,38.5167,-28.7,288.58,87,25,7.6,PT,2023-01-24 04:55:17
24,Yulara,-25.2406,130.9889,307.69,16,87,2.51,AU,2023-01-24 04:55:17
25,Baghdad,33.3406,44.4009,278.1,93,0,2.06,IQ,2023-01-24 04:55:17
26,Puerto Leguizamo,-0.1934,-74.7819,294.76,98,100,0.49,CO,2023-01-24 04:55:18
27,Cabo San Lucas,22.8909,-109.9124,290.1,72,100,0.45,MX,2023-01-24 04:55:06
28,Bethel,41.3712,-73.414,274.46,77,26,1.79,US,2023-01-24 04:55:18
29,Doka,13.5167,35.7667,295.81,55,1,5.05,SD,2023-01-24 04:55:19
30,Georgetown,5.4112,100.3354,302.12,75,20,1.54,MY,2023-01-24 04:55:19
31,Mehamn,71.0357,27.8492,273.1,100,100,13.89,NO,2023-01-24 04:55:19
32,Nikolskoye,59.7035,30.7861,269.15,90,100,4.44,RU,2023-01-24 04:55:20
33,Floro,61.5996,5.0328,282.02,100,100,8.75,NO,2023-01-24 04:55:20
34,Rikitea,-23.1203,-134.9692,299.33,73,0,6.69,PF,2023-01-24 04:55:21
35,Mahebourg,-20.4081,57.7,296.62,100,75,1.54,MU,2023-01-24 04:55:21
36,Corpus Christi,27.8006,-97.3964,292.15,80,100,7.72,US,2023-01-24 04:50:24
37,Guerrero Negro,27.9769,-114.0611,285.72,43,10,3.38,MX,2023-01-24 04:55:22
38,Kipini,-2.5257,40.5262,298.12,83,66,2.58,KE,2023-01-24 04:55:22
39,Rincon,32.296,-81.2354,281.96,93,0,2.09,US,2023-01-24 04:55:22
40,Faanui,-16.4833,-151.75,298.64,79,100,7.91,PF,2023-01-24 04:55:23
